RK,Name,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS,Season
49,Nick Dunlap,22,"$2,930,385",1224,23,71,15,4,2,70.4,307.3,55.2,64.3,1.717,50.0,4.31,2024
50,Eric Cole,37,"$3,726,147",1173,34,111,23,5,0,70.1,297.2,57.2,62.7,1.729,60.1,3.982,2024
1,Scottie Scheffler,29,"$27,659,550",7456,20,80,20,17,6,68.0,308.3,63.0,71.4,1.693,57.7,4.7,2025
2,Rory McIlroy,36,"$16,992,418",3687,16,58,14,8,3,69.1,323.0,51.2,67.7,1.716,56.0,4.224,2025
3,J.J. Spaun,35,"$13,278,222",3493,25,91,21,7,1,69.5,306.1,62.0,69.5,1.741,60.3,4.11,2025
4,Justin Rose,45,"$8,857,976",3326,18,58,11,5,1,70.6,301.9,58.5,64.0,1.72,59.3,4.19,2025
5,Tommy Fleetwood,34,"$18,496,238",2923,19,74,18,8,1,69.4,299.4,65.4,65.8,1.715,59.6,4.162,2025
6,Ben Griffin,29,"$11,724,352",2798,30,104,23,12,3,69.2,305.1,60.0,69.7,1.735,63.5,4.106,2025
7,Russell Henley,36,"$14,707,570",2795,19,72,17,10,1,69.3,289.1,68.7,70.1,1.738,60.8,4.125,2025
8,Sepp Straka,32,"$10,650,894",2783,22,76,17,6,2,69.5,297.9,65.7,70.2,1.728,57.4,4.289,2025
9,Robert MacIntyre,29,"$8,467,191",2750,23,84,20,6,0,69.5,302.7,61.5,68.7,1.766,64.5,4.06,2025
10,Maverick McNealy,30,"$8,322,575",2547,26,94,21,7,0,69.9,306.8,59.1,68.1,1.755,52.3,3.872,2025
11,Harris English,36,"$8,840,132",2512,23,88,21,4,1,69.9,304.3,61.8,66.7,1.76,61.9,3.568,2025
12,Justin Thomas,32,"$10,896,155",2477,21,80,19,8,1,69.7,305.3,53.3,65.3,1.68,62.9,4.463,2025
13,Cameron Young,28,"$8,789,813",2184,25,87,18,8,1,70.1,313.2,53.9,64.2,1.704,60.4,4.299,2025
14,Ludvig Åberg,26,"$8,276,973",2179,20,69,15,6,1,70.0,313.9,59.5,66.2,1.74,62.7,4.159,2025
15,Andrew Novak,30,"$7,788,219",2029,27,89,18,6,1,70.4,301.3,57.2,61.5,1.732,61.9,3.719,2025
16,Keegan Bradley,39,"$8,702,812",1992,21,80,19,6,1,69.9,306.4,61.4,66.0,1.742,60.9,3.825,2025
17,Sam Burns,29,"$6,801,982",1871,25,94,22,6,0,69.6,307.5,60.2,66.1,1.704,63.0,4.245,2025
18,Brian Harman,38,"$5,547,660",1735,24,89,20,4,1,70.2,294.6,63.3,65.7,1.754,62.0,3.73,2025
19,Corey Conners,34,"$8,167,903",1719,21,81,19,7,0,70.0,298.2,66.6,69.2,1.761,54.9,3.864,2025
20,Patrick Cantlay,33,"$9,441,931",1661,20,74,17,5,0,69.8,305.9,58.9,70.0,1.734,55.4,4.135,2025
21,Collin Morikawa,28,"$7,915,347",1655,21,76,18,4,0,69.9,298.3,70.7,69.2,1.748,58.3,4.013,2025
22,Viktor Hovland,28,"$5,824,239",1637,18,65,14,3,1,70.0,303.3,63.1,67.3,1.742,59.0,4.2,2025
23,Hideki Matsuyama,33,"$6,650,152",1630,23,86,20,1,1,69.8,300.2,58.5,65.7,1.748,70.5,4.023,2025
